Category,Name,Marked Price,Min Discounted Price,Description,Image URLs
Gloves,Boxing Gloves Twins Special Leather,16200.0,16200.0,"Twins Special is one of Thai Boxing’s oldest brands, and certainly one of the most well-known names in Thai Boxing and striking sports in general. Renowned for the quality of their products, each glove and pad is handmade in Thailand using 100% Thai cowhide leather. Twins Special also produces some of the best pads on the market, providing years of durability while maintaining shock-absorbing comfort for the wearer.Designed for maximum hand and wrist protection during training sessions, Twins velcro boxing gloves are the ultimate choice for all-round use. These gloves are perfect for pad work, bag training, and sparring, with a secure and comfortable fit thanks to the durable velcro wrist strap. With an attached thumb design for safety and made from 100% genuine Thai leather, these classic Twins gloves are a top pick for muaythai, pro boxing, and MMA. Expertly handmade in Thailand, these gloves are built to last.",https://sportscenter.com.np/wp-content/uploads/2024/10/Twins-leather-2-600x600.jpg
Gloves,Boxing Gloves Twins Special PU Leather,9625.0,9625.0,"Twins Special is one of Thai Boxing’s oldest brands, and certainly one of the most well-known names in Thai Boxing and striking sports in general. Renowned for the quality of their products, each glove and pad is handmade in Thailand using 100% Thai cowhide leather. Twins Special also produces some of the best pads on the market, providing years of durability while maintaining shock-absorbing comfort for the wearer.Designed for maximum hand and wrist protection during training sessions, Twins velcro boxing gloves are the ultimate choice for all-round use. These gloves are perfect for pad work, bag training, and sparring, with a secure and comfortable fit thanks to the durable velcro wrist strap. With an attached thumb design for safety and made from 100% genuine Thai leather, these classic Twins gloves are a top pick for muaythai, pro boxing, and MMA. Expertly handmade in Thailand, these gloves are built to last.",https://sportscenter.com.np/wp-content/uploads/2024/10/Twins-PU-leather-600x600.jpg
Gloves,Boxing Gloves USI UNIVERSAL Amateur Contest,5438.0,5087.0,"These gloves offer maximum protection to the aggressive Amateur Boxers whocan fight fearlessly. Ergonomically shaped to lock your hands in one fist position.Used by most Olympic aspiring Amateurs, Made precisely as per the International guidelines, the st technology has been used in these products with regards to protective foams, shell materials, closure, and fastening systems.",https://sportscenter.com.np/wp-content/uploads/2020/10/amateur-boxing-gloves-usi-2-600x600.jpg
Gloves,Boxing Gloves USI UNIVERSAL Bouncer Junior,1415.0,1315.0,Sports Center has been Proudly selling USI Brand Boxing Equipments for a long time. The Brand Credibility that USI Universal enjoys in the Nepalese market is difficult to find with other brands. The popularity in the use of USI brands and the way people perceive the brand makes it the top Boxing brand in the country.Our bouncer Series of Boxing gloves are specially for the youth size boxing enthusiasts. Available for the juniors in 6 and 8 Oz. Ideally for beginners who are wanting to start boxing.,https://sportscenter.com.np/wp-content/uploads/2020/10/bouncer-1-600x600.jpg
Gloves,Boxing Gloves USI UNIVERSAL Boxuber Sparring,5687.0,5687.0,"Boxuber is a hybrid range combining leather and PU. As the name states, this product is for the uber class of boxing. Shock dispersing technology with the ultimate wrist lock system gives these gloves a contemporary feel.",https://sportscenter.com.np/wp-content/uploads/2020/10/boxuberrr-1-600x600.jpg
Gloves,Boxing Gloves USI UNIVERSAL Contra Bag Gloves,5155.0,5155.0,USI has tried to take training to a new level by introducing this high tech range. USI has studied all the missing features in the conventional gloves and tried to answer all in this range of Contra Gloves.The Contra series has introduced preshaped padded zones to deliver maximum protection. These pads are ultra-strong yet very light. The Soft lining material also wicks away the moisture from the gloves.Sports Center recommends these gloves for use in heavy bags only.,https://sportscenter.com.np/wp-content/uploads/2020/10/boxing-gloves-contra-bag-gloves-2-600x600.jpg
Gloves,Boxing Gloves USI UNIVERSAL Contra Training 12Oz,3990.0,3990.0,USI has tried to take training to a new level by introducing this high tech range. USI has studied all the missing features in the conventional gloves and tried to answer all in this range of Contra Gloves.The Contra series has introduced preshaped padded zones to deliver maximum protection. These pads are ultra-strong yet very light. The Soft lining material also wicks away the moisture from the gloves.Sports Center recommends these gloves for use in the intense training and bag works.,https://sportscenter.com.np/wp-content/uploads/2020/10/vintage-5-1-600x600.jpg
Gloves,Boxing Gloves USI UNIVERSAL Crusher,2373.0,2373.0,The brand USI Universal is India’s Top-level Boxing Gloves manufacturing brand. It competes with other top-level brands in the world and is in no way second to any other.Sports Center recommends these Boxing Gloves for beginners and intermediate level boxers or for those who wish to get a nice workout done. Available in both 10 and 12 Oz sizes this is one of the most economically priced Boxing Gloves that we sell or you can find in the market. Great value for the money and its quality will not disappoint you.,https://sportscenter.com.np/wp-content/uploads/2020/10/crusher-1-600x600.jpg
Gloves,Boxing Gloves USI UNIVERSAL Immortal Safe Spar,6609.0,5262.0,"This product defines a perfect sparing glove. It provides ultimate hand protection without punishing your opponent. This glove is designed to keep you cool during the long sparing sessions.Probably the Highest selling Boxing gloves in the Country. We have sold these models of gloves like no other. Distinctively USI and screams quality. The trusted model in the country amongst Boxers, gym-goers, Kickboxing, and Muay Thai athletes.",https://sportscenter.com.np/wp-content/uploads/2020/10/immortal-safe-spar-2-600x600.jpg
Gloves,Boxing Gloves USI UNIVERSAL Lite Contest,3772.0,3772.0,"USI is a Brand Pioneer in Martial Arts and Fitness Equipment. Their product is fire from every aspect. Quality-wise their products are A1. The brand comes from the sporting capital of the world, Jalandhar India. They specialize in martial arts and Physical Fitness Equipment.LITE CONTEST gloves are amateur boxing gloves for bouts. They are made of PU and have very lightweight. They last longer than a rexin gloves that are made to imitate leather.  This models major USP is its selling price. Made very much affordable for all.",https://sportscenter.com.np/wp-content/uploads/2020/10/lite-contest-boxing-gloves-5-1-600x600.jpg
